Colpitti Ck
STN	Date/Time       	PREC_HR_TTL_VAL	PREC_HR_TTL_VAL_QC	PREC_HR_TTL_VAL_Note	PREC_BEST_HR_TTL	PREC_BEST_HR_TTL_QC	PREC_BEST_HR_TTL_Note	TEMP_INST_VAL	TEMP_INST_VAL_QC	TEMP_INST_VAL_Note	SWE_INST_VAL	SWE_INST_VAL_QC	SWE_INST_VAL_Note	
CPI	2020/09/21 05:15	+	+	+	+	+	+	5.0	190	+	-1.0	190	+	
CPI	2020/09/21 05:30	+	+	+	+	+	+	5.3	190	+	-1.0	190	+	
CPI	2020/09/21 05:45	+	+	+	+	+	+	5.5	190	+	-1.0	190	+	
CPI	2020/09/21 06:00	0.2	50	+	0.2	50	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/21 06:15	+	+	+	+	+	+	5.2	190	+	-1.0	190	+	
CPI	2020/09/21 06:30	+	+	+	+	+	+	5.4	190	+	-1.0	190	+	
CPI	2020/09/21 06:45	+	+	+	+	+	+	5.6	190	+	-1.0	190	+	
CPI	2020/09/21 07:00	0.1	50	+	0.1	50	+	6.4	190	+	-1.0	190	+	
CPI	2020/09/21 07:15	+	+	+	+	+	+	6.7	190	+	-1.0	190	+	
CPI	2020/09/21 07:30	+	+	+	+	+	+	7.2	190	+	-1.0	190	+	
CPI	2020/09/21 07:45	+	+	+	+	+	+	6.8	190	+	-1.0	190	+	
CPI	2020/09/21 08:00	0.0	50	+	0.0	50	+	6.3	190	+	-1.0	190	+	
CPI	2020/09/21 08:15	+	+	+	+	+	+	6.4	190	+	-1.0	190	+	
CPI	2020/09/21 08:30	+	+	+	+	+	+	6.7	190	+	-1.0	190	+	
CPI	2020/09/21 08:45	+	+	+	+	+	+	7.2	190	+	-1.0	190	+	
CPI	2020/09/21 09:00	0.2	50	+	0.2	50	+	7.2	190	+	-1.0	190	+	
CPI	2020/09/21 09:15	+	+	+	+	+	+	7.2	190	+	-1.0	190	+	
CPI	2020/09/21 09:30	+	+	+	+	+	+	8.1	190	+	-1.0	190	+	
CPI	2020/09/21 09:45	+	+	+	+	+	+	8.0	190	+	-1.0	190	+	
CPI	2020/09/21 10:00	0.1	50	+	0.1	50	+	8.1	190	+	-1.0	190	+	
CPI	2020/09/21 10:15	+	+	+	+	+	+	7.9	190	+	-1.0	190	+	
CPI	2020/09/21 10:30	+	+	+	+	+	+	7.7	190	+	-1.0	190	+	
CPI	2020/09/21 10:45	+	+	+	+	+	+	7.6	190	+	-1.0	190	+	
CPI	2020/09/21 11:00	0.2	50	+	0.2	50	+	7.3	190	+	-1.0	190	+	
CPI	2020/09/21 11:15	+	+	+	+	+	+	7.5	190	+	-1.0	190	+	
CPI	2020/09/21 11:30	+	+	+	+	+	+	7.4	190	+	-1.0	190	+	
CPI	2020/09/21 11:45	+	+	+	+	+	+	7.3	190	+	-1.0	190	+	
CPI	2020/09/21 12:00	0.2	50	+	0.2	50	+	7.2	190	+	-1.0	190	+	
CPI	2020/09/21 12:15	+	+	+	+	+	+	7.1	190	+	-1.0	190	+	
CPI	2020/09/21 12:30	+	+	+	+	+	+	7.5	190	+	-1.0	190	+	
CPI	2020/09/21 12:45	+	+	+	+	+	+	8.3	190	+	-1.0	190	+	
CPI	2020/09/21 13:00	0.1	50	+	0.1	50	+	8.6	190	+	-1.0	190	+	
CPI	2020/09/21 13:15	+	+	+	+	+	+	8.1	190	+	-1.0	190	+	
