Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PK,13-Feb-19,44,8.84,8.22,-13.4,-3.4,-21.3,85.9,62.4,0.6,4,2.2,0.789,-2.3,-20.8,-8.2,-33.9,-0.5,NA,0.9,NA,0.296,0.178,10.12
PK,14-Feb-19,45,5.56,5.09,-7.7,-4.3,-12.6,80.9,53.2,1.9,5.7,2.2,0.799,-2.1,-12.3,-5.2,-25.6,-0.4,NA,0.9,NA,0.236,0.208,10.31
PK,15-Feb-19,46,5.74,5.33,-6,-1.8,-10.5,92.4,81.6,0.9,3.7,2.86,0.821,-2,-8.4,-3.1,-19.3,-0.5,NA,0.9,NA,0.435,0.098,10.51
PK,16-Feb-19,47,4.8,4.42,-6.9,-2.4,-12.6,86.8,65.6,0.8,3.9,0,0.808,-1.7,-9.3,-4.3,-22.3,-0.5,NA,0.9,NA,0.336,0.176,10.71
PK,17-Feb-19,48,5.31,4.93,-10.6,-7.2,-19.3,91.9,84.4,1.6,5.4,6.05,0.846,-1.5,-11.8,-7.3,-32,-0.5,NA,0.8,NA,0.3,0.055,10.91
PK,18-Feb-19,49,10.3,9.39,-14.1,-7.4,-23.4,84.1,64.6,1,4.4,0,0.807,-1.3,-21.3,-9.8,-35,-0.4,NA,0.8,NA,0.227,0.124,11.13
PK,19-Feb-19,50,5.34,4.47,-8.1,-4.5,-14.3,90.1,77.9,1.3,5.9,9.9,0.897,-1.3,-9.3,-5.9,-22.3,-0.4,NA,0.8,NA,0.34,0.096,11.33
PK,20-Feb-19,51,6.06,5.36,-8.8,-7.2,-9.8,88.6,77.7,2,7,2.09,0.888,-1.3,-11,-7.1,-17,-0.4,NA,0.8,NA,0.277,0.079,11.55
PK,21-Feb-19,52,7.36,6.38,-11.5,-5,-19.9,85.7,57.8,1.3,4.7,1.98,0.885,-1.2,-15.4,-5.6,-32.3,-0.4,NA,0.8,NA,0.242,0.177,11.76
PK,22-Feb-19,53,4.29,3.99,-10.3,-8,-15.4,90.6,81.6,1,4.9,10.89,0.986,-1.1,-11.3,-8.4,-17.4,-0.4,NA,0.8,NA,0.272,0.061,11.98
