station_name,native_id,lat,lon,elev,net_var_name,unit,earliest_time,latest_time
CoalmineWx,CoalmineWx,53.741139,-121.784639,840.0,TempC,celsius,2018-08-29 14:00:00,2023-09-26 09:00:00
CPFWx,PGTIS3,53.753775,-122.718864,593.0,TempC,celsius,2007-08-09 13:00:00,2023-10-17 08:00:00
CrystalWx,Crystal Lake,54.423494,-122.627844,744.0,TempC,celsius,2010-04-29 13:00:00,2023-10-11 11:00:00
Dennis,McDonn,54.76159,-127.46765,895.0,TempC,celsius,2021-07-07 17:00:00,2023-09-19 13:00:00
DunsterWx,Dunster,53.114909,-119.835293,890.0,TempC,celsius,2013-09-05 14:00:00,2024-01-05 12:00:00
EndakoWx,Endako,54.422392,-125.991293,851.0,TempC,celsius,2007-09-13 12:00:00,2023-09-15 11:00:00
GeorgeWx,George,53.883555,-124.710668,859.0,TempC,celsius,2007-09-14 11:00:00,2023-10-30 11:00:00
GunnelWx,Gunnel1,58.75475,-123.977683,1460.0,TempC,celsius,2008-09-04 15:00:00,2015-08-06 10:00:00
HourglassWx,Hourglass ,55.21275,-120.771635,1131.0,TempC,celsius,2012-05-23 17:00:00,2024-01-05 16:00:00
Hudson Bay Mtn2,HBMtn2,54.77375,-127.27216,1670.0,TempC,celsius,2017-08-25 13:00:00,2024-01-08 09:00:00
Kluskus,BednestiWx,53.397852,-124.513069,1110.0,TempC,celsius,2010-07-15 17:00:00,2023-10-12 10:00:00
MacJxnWx,Mackenzie Jxn,55.137858,-122.977243,719.0,TempC,celsius,2010-04-28 14:00:00,2023-10-11 09:00:00
McDonnellWx,McDonn,54.78217,-127.5143,980.0,TempC,celsius,2021-07-07 17:00:00,2022-10-27 11:00:00
MiddleforkWx,MF1,57.550917,-122.7963,972.0,TempC,celsius,2007-07-11 20:00:00,2023-11-01 12:00:00
NondaWx,Nonda1,59.002111,-125.509361,1683.0,TempC,celsius,2007-07-12 16:00:00,2024-01-08 10:00:00
PinkWx,Pink1,57.06163,-122.86491,1756.0,TempC,celsius,2008-09-08 16:00:00,2024-01-08 10:00:00
